icd9code,long_description,short_description
305.40,Sedative - hypnotic or anxiolytic abuse - unspecified,Sed-hyp-anxiolytc ab-NOS
305.41,Sedative - hypnotic or anxiolytic abuse - continuous,Sed-hyp-anxiolytc ab-con
305.42,Sedative - hypnotic or anxiolytic abuse - episodic,Sed-hyp-anxiolytc ab-epi
305.43,Sedative - hypnotic or anxiolytic abuse - in remission,Sed-hyp-anxiolytc ab-rem
305.50,Opioid abuse - unspecified,Opioid abuse-unspec
305.51,Opioid abuse - continuous,Opioid abuse-continuous
305.52,Opioid abuse - episodic,Opioid abuse-episodic
305.53,Opioid abuse - in remission,Opioid abuse-in remiss
305.60,Cocaine abuse - unspecified,Cocaine abuse-unspec
305.61,Cocaine abuse - continuous,Cocaine abuse-continuous
305.62,Cocaine abuse - episodic,Cocaine abuse-episodic
305.63,Cocaine abuse - in remission,Cocaine abuse-in remiss
305.70,Amphetamine or related acting sympathomimetic abuse - unspecified,Amphetamine abuse-unspec
305.71,Amphetamine or related acting sympathomimetic abuse - continuous,Amphetamine abuse-contin
305.72,Amphetamine or related acting sympathomimetic abuse - episodic,Amphetamine abuse-episod
305.73,Amphetamine or related acting sympathomimetic abuse - in remission,Amphetamine abuse-remiss
305.80,Antidepressant type abuse - unspecified,Antidepress abuse-unspec
305.81,Antidepressant type abuse - continuous,Antidepress abuse-contin
305.82,Antidepressant type abuse - episodic,Antidepress abuse-episod
305.83,Antidepressant type abuse - in remission,Antidepress abuse-remiss
305.90,Other - mixed - or unspecified drug abuse - unspecified,Drug abuse NEC-unspec
305.91,Other - mixed - or unspecified drug abuse - continuous,Drug abuse NEC-contin
305.92,Other - mixed - or unspecified drug abuse - episodic,Drug abuse NEC-episodic
305.93,Other - mixed - or unspecified drug abuse - in remission,Drug abuse NEC-in remiss
306.0,Musculoskeletal malfunction arising from mental factors,Psychogen musculskel dis
306.1,Respiratory malfunction arising from mental factors,Psychogenic respir dis
306.2,Cardiovascular malfunction arising from mental factors,Psychogen cardiovasc dis
306.3,Skin disorder arising from mental factors,Psychogenic skin disease
306.4,Gastrointestinal malfunction arising from mental factors,Psychogenic GI disease
306.50,Psychogenic genitourinary malfunction - unspecified,Psychogenic gu dis NOS
306.51,Psychogenic vaginismus,Psychogenic vaginismus
306.52,Psychogenic dysmenorrhea,Psychogenic dysmenorrhea
306.53,Psychogenic dysuria,Psychogenic dysuria
306.59,Other genitourinary malfunction arising from mental factors,Psychogenic gu dis NEC
306.6,Endocrine disorder arising from mental factors,Psychogen endocrine dis
306.7,Disorder of organs of special sense arising from mental factors,Psychogenic sensory dis
306.8,Other specified psychophysiological malfunction,Psychogenic disorder NEC
306.9,Unspecified psychophysiological malfunction,Psychogenic disorder NOS
307.0,Adult onset fluency disorder,Adult onset flncy disord
307.1,Anorexia nervosa,Anorexia nervosa
307.20,Tic disorder - unspecified,Tic disorder NOS
307.21,Transient tic disorder,Transient tic disorder
307.22,Chronic motor or vocal tic disorder,Chr motor/vocal tic dis
307.23,Tourette's disorder,Tourette's disorder
307.3,Stereotypic movement disorder,Stereotypic movement dis
307.40,Nonorganic sleep disorder - unspecified,Nonorganic sleep dis NOS
307.41,Transient disorder of initiating or maintaining sleep,Transient insomnia
307.42,Persistent disorder of initiating or maintaining sleep,Persistent insomnia
307.43,Transient disorder of initiating or maintaining wakefulness,Transient hypersomnia
307.44,Persistent disorder of initiating or maintaining wakefulness,Persistent hypersomnia
307.45,Circadian rhythm sleep disorder of nonorganic origin,Nonorganic circadian rhy
307.46,Sleep arousal disorder,Sleep arousal disorder
307.47,Other dysfunctions of sleep stages or arousal from sleep,Sleep stage dysfunc NEC
307.48,Repetitive intrusions of sleep,Repetit sleep intrusion
307.49,Other specific disorders of sleep of nonorganic origin,Nonorganic sleep dis NEC
307.50,Eating disorder - unspecified,Eating disorder NOS
307.51,Bulimia nervosa,Bulimia nervosa
307.52,Pica,Pica
307.53,Rumination disorder,Rumination disorder
307.54,Psychogenic vomiting,Psychogenic vomiting
307.59,Other disorders of eating,Eating disorder NEC
307.6,Enuresis,Enuresis
307.7,Encopresis,Encopresis
307.80,Psychogenic pain - site unspecified,Psychogenic pain NOS
307.81,Tension headache,Tension headache
307.89,Other pain disorders related to psychological factors,Psychogenic pain NEC
307.9,Other and unspecified special symptoms or syndromes - not elsewhere classified,Special symptom NEC/NOS
308.0,Predominant disturbance of emotions,Stress react - emotional
308.1,Predominant disturbance of consciousness,Stress reaction - fugue
308.2,Predominant psychomotor disturbance,Stress react - psychomot
308.3,Other acute reactions to stress,Acute stress react NEC
308.4,Mixed disorders as reaction to stress,Stress react - mixed dis
308.9,Unspecified acute reaction to stress,Acute stress react NOS
309.0,Adjustment disorder with depressed mood,Adjustmnt dis w depressn
309.1,Prolonged depressive reaction,Prolong depressive react
309.21,Separation anxiety disorder,Separation anxiety
309.22,Emancipation disorder of adolescence and early adult life,Emancipation disorder
309.23,Specific academic or work inhibition,Academic/work inhibition
309.24,Adjustment disorder with anxiety,Adjustment dis w anxiety
309.28,Adjustment disorder with mixed anxiety and depressed mood,Adjust dis w anxiety/dep
309.29,Other adjustment reactions with predominant disturbance of other emotions,Adj react-emotion NEC
309.3,Adjustment disorder with disturbance of conduct,Adjust disor/dis conduct
309.4,Adjustment disorder with mixed disburbance of emotions and conduct,Adj dis-emotion/conduct
309.81,Posttraumatic stress disorder,Posttraumatic stress dis
309.82,Adjustment reaction with physical symptoms,Adjust react-phys sympt
309.83,Adjustment reaction with withdrawal,Adjust react-withdrawal
309.89,Other specified adjustment reactions,Adjustment reaction NEC
309.9,Unspecified adjustment reaction,Adjustment reaction NOS
310.0,Frontal lobe syndrome,Frontal lobe syndrome
310.1,Personality change due to conditions classified elsewhere,Personality chg oth dis
310.2,Postconcussion syndrome,Postconcussion syndrome
310.81,Pseudobulbar affect,Pseudobulbar affect
310.89,Other specified nonpsychotic mental disorders following organic brain damage,Nonpsych mntl disord NEC
310.9,Unspecified nonpsychotic mental disorder following organic brain damage,Nonpsychot brain syn NOS
311.,Depressive disorder - not elsewhere classified,Depressive disorder NEC
312.00,Undersocialized conduct disorder - aggressive type - unspecified,Unsocial aggress-unspec
312.01,Undersocialized conduct disorder - aggressive type - mild,Unsocial aggression-mild
312.02,Undersocialized conduct disorder - aggressive type - moderate,Unsocial aggression-mod
312.03,Undersocialized conduct disorder - aggressive type - severe,Unsocial aggress-severe
312.10,Undersocialized conduct disorder - unaggressive type - unspecified,Unsocial unaggress-unsp
312.11,Undersocialized conduct disorder - unaggressive type - mild,Unsocial unaggress-mild
312.12,Undersocialized conduct disorder - unaggressive type - moderate,Unsocial unaggress-mod
312.13,Undersocialized conduct disorder - unaggressive type - severe,Unsocial unaggr-severe
312.20,Socialized conduct disorder - unspecified,Social conduct dis-unsp
312.21,Socialized conduct disorder - mild,Social conduct dis-mild
312.22,Socialized conduct disorder - moderate,Social conduct dis-mod
312.23,Socialized conduct disorder - severe,Social conduct dis-sev
312.30,Impulse control disorder - unspecified,Impulse control dis NOS
312.31,Pathological gambling,Pathological gambling
312.32,Kleptomania,Kleptomania
312.33,Pyromania,Pyromania
312.34,Intermittent explosive disorder,Intermitt explosive dis
312.35,Isolated explosive disorder,Isolated explosive dis
312.39,Other disorders of impulse control,Impulse control dis NEC
312.4,Mixed disturbance of conduct and emotions,Mix dis conduct/emotion
312.81,Conduct disorder - childhood onset type,Cndct dsrdr chldhd onst
312.82,Conduct disorder - adolescent onset type,Cndct dsrdr adlscnt onst
312.89,Other conduct disorder,Other conduct disorder
312.9,Unspecified disturbance of conduct,Conduct disturbance NOS
313.0,Overanxious disorder specific to childhood and adolescence,Overanxious disorder
313.1,Misery and unhappiness disorder specific to childhood and adolescence,Misery & unhappiness dis
313.21,Shyness disorder of childhood,Shyness disorder-child
313.22,Introverted disorder of childhood,Introverted dis-child
313.23,Selective mutism,Selective mutism
313.3,Relationship problems specific to childhood and adolescence,Relationship problems
313.81,Oppositional defiant disorder,Opposition defiant disor
313.82,Identity disorder of childhood or adolescence,Identity disorder
313.83,Academic underachievement disorder of childhood or adolescence,Academic underachievment
313.89,Other emotional disturbances of childhood or adolescence,Emotional dis child NEC
313.9,Unspecified emotional disturbance of childhood or adolescence,Emotional dis child NOS
314.00,Attention deficit disorder without mention of hyperactivity,Attn defic nonhyperact
314.01,Attention deficit disorder with hyperactivity,Attn deficit w hyperact
314.1,Hyperkinesis with developmental delay,Hyperkinet w devel delay
314.2,Hyperkinetic conduct disorder,Hyperkinetic conduct dis
314.8,Other specified manifestations of hyperkinetic syndrome,Other hyperkinetic synd
314.9,Unspecified hyperkinetic syndrome,Hyperkinetic synd NOS
315.00,Developmental reading disorder - unspecified,Reading disorder NOS
315.01,Alexia,Alexia
315.02,Developmental dyslexia,Developmental dyslexia
315.09,Other specific developmental reading disorder,Reading disorder NEC
315.1,Mathematics disorder,Mathematics disorder
315.2,Other specific developmental learning difficulties,Oth learning difficulty
315.31,Expressive language disorder,Expressive language dis
315.32,Mixed receptive-expressive language disorder,Recp-expres language dis
315.34,Speech and language developmental delay due to hearing loss,Speech del d/t hear loss
315.35,Childhood onset fluency disorder,Chldhd onset flncy disor
315.39,Other developmental speech or language disorder,Speech/language dis NEC
315.4,Developmental coordination disorder,Devel coordination dis
315.5,Mixed development disorder,Mixed development dis
315.8,Other specified delays in development,Development delays NEC
315.9,Unspecified delay in development,Development delay NOS
316.,Psychic factors associated with diseases classified elsewhere,Psychic factor w oth dis
317.,Mild intellectual disabilities,Mild intellect disabilty
318.0,Moderate intellectual disabilities,Mod intellect disability
318.1,Severe intellectual disabilities,Sev intellect disability
318.2,Profound intellectual disabilities,Profnd intellct disablty
319.,Unspecified intellectual disabilities,Intellect disability NOS
320.0,Hemophilus meningitis,Hemophilus meningitis
320.1,Pneumococcal meningitis,Pneumococcal meningitis
320.2,Streptococcal meningitis,Streptococcal meningitis
320.3,Staphylococcal meningitis,Staphylococc meningitis
320.7,Meningitis in other bacterial diseases classified elsewhere,Mening in oth bact dis
320.81,Anaerobic meningitis,Anaerobic meningitis
320.82,Meningitis due to gram-negative bacteria - not elsewhere classified,Mningts gram-neg bct NEC
320.89,Meningitis due to other specified bacteria,Meningitis oth spcf bact
320.9,Meningitis due to unspecified bacterium,Bacterial meningitis NOS
321.0,Cryptococcal meningitis,Cryptococcal meningitis
321.1,Meningitis in other fungal diseases,Mening in oth fungal dis
321.2,Meningitis due to viruses not elsewhere classified,Mening in oth viral dis
321.3,Meningitis due to trypanosomiasis,Trypanosomiasis meningit
321.4,Meningitis in sarcoidosis,Meningit d/t sarcoidosis
321.8,Meningitis due to other nonbacterial organisms classified elsewhere,Mening in oth nonbac dis
322.0,Nonpyogenic meningitis,Nonpyogenic meningitis
322.1,Eosinophilic meningitis,Eosinophilic meningitis
322.2,Chronic meningitis,Chronic meningitis
322.9,Meningitis - unspecified,Meningitis NOS
323.01,Encephalitis and encephalomyelitis in viral diseases classified elsewhere,Enceph/encephmye oth dis
323.02,Myelitis in viral diseases classified elsewhere,Myelitis-oth viral dis
323.1,Encephalitis - myelitis - and encephalomyelitis in rickettsial diseases classified elsewhere,Rickettsial encephalitis
323.2,Encephalitis - myelitis - and encephalomyelitis in protozoal diseases classified elsewhere,Protozoal encephalitis
323.41,Other encephalitis and encephalomyelitis due to other infections classified elsewhere,Ot encph/mye ot inf else
323.42,Other myelitis due to other infections classified elsewhere,Oth myelitis ot inf else
323.51,Encephalitis and encephalomyelitis following immunization procedures,Enceph/myel folwg immune
323.52,Myelitis following immunization procedures,Myelitis follwg immune
323.61,Infectious acute disseminated encephalomyelitis (ADEM),Inf ac dis encephalomyel
323.62,Other postinfectious encephalitis and encephalomyelitis,Postinf encephalitis NEC
323.63,Postinfectious myelitis,Postinfectious myelitis
323.71,Toxic encephalitis and encephalomyelitis,Toxic encph & encephlomy
323.72,Toxic myelitis,Toxic myelitis
323.81,Other causes of encephalitis and encephalomyelitis,Enceph & encephlalo NEC
323.82,Other causes of myelitis,Myelitis cause NEC
323.9,Unspecified causes of encephalitis - myelitis - and encephalomyelitis,Encephalitis NOS
324.0,Intracranial abscess,Intracranial abscess
324.1,Intraspinal abscess,Intraspinal abscess
324.9,Intracranial and intraspinal abscess of unspecified site,Cns abscess NOS
325.,Phlebitis and thrombophlebitis of intracranial venous sinuses,Phlebitis intrcran sinus
326.,Late effects of intracranial abscess or pyogenic infection,Late eff cns abscess
327.00,Organic insomnia - unspecified,Organic insomnia NOS
327.01,Insomnia due to medical condition classified elsewhere,Insomnia in other dis
327.02,Insomnia due to mental disorder,Insomnia dt mental disor
327.09,Other organic insomnia,Organic insomnia NEC
327.10,Organic hypersomnia - unspecified,Organic hypersomnia NOS
327.11,Idiopathic hypersomnia with long sleep time,Idio hypersom-long sleep
327.12,Idiopathic hypersomnia without long sleep time,Idio hypersom-no lng slp
327.13,Recurrent hypersomnia,Recurrent hypersomnia
327.14,Hypersomnia due to medical condition classified elsewhere,Hypersomnia in other dis
327.15,Hypersomnia due to mental disorder,Hypersom dt mental disor
327.19,Other organic hypersomnia,Organic hypersomnia NEC
327.20,Organic sleep apnea - unspecified,Organic sleep apnea NOS
327.21,Primary central sleep apnea,Prim central sleep apnea
327.22,High altitude periodic breathing,High altitude breathing
327.23,Obstructive sleep apnea (adult)(pediatric),Obstructive sleep apnea
327.24,Idiopathic sleep related non-obstructive alveolar hypoventilation,Idiopath sleep hypovent
327.25,Congenital central alveolar hypoventilation syndrome,Cong cntrl hypovent synd
327.26,Sleep related hypoventilation/hypoxemia in conditions classifiable elsewhere,Sleep hypovent oth dis
327.27,Central sleep apnea in conditions classified elsewhere,Cntrl sleep apnea ot dis
327.29,Other organic sleep apnea,Organic sleep apnea NEC
327.30,Circadian rhythm sleep disorder - unspecified,Circadian rhym sleep NOS
327.31,Circadian rhythm sleep disorder - delayed sleep phase type,Circadian rhy-delay slp
327.32,Circadian rhythm sleep disorder - advanced sleep phase type,Circadian rhy-advc sleep
327.33,Circadian rhythm sleep disorder - irregular sleep-wake type,Circadian rhym-irreg slp
327.34,Circadian rhythm sleep disorder - free-running type,Circadian rhym-free run
327.35,Circadian rhythm sleep disorder - jet lag type,Circadian rhythm-jetlag
327.36,Circadian rhythm sleep disorder - shift work type,Circadian rhy-shift work
327.37,Circadian rhythm sleep disorder in conditions classified elsewhere,Circadian rhym oth dis
327.39,Other circadian rhythm sleep disorder,Circadian rhym sleep NEC
327.40,Organic parasomnia - unspecified,Organic parasomnia NOS
327.41,Confusional arousals,Confusional arousals
327.42,REM sleep behavior disorder,REM sleep behavior dis
327.43,Recurrent isolated sleep paralysis,Recurrnt sleep paralysis
327.44,Parasomnia in conditions classified elsewhere,Parasomnia oth diseases
327.49,Other organic parasomnia,Organic parasomnia NEC
327.51,Periodic limb movement disorder,Periodic limb movement
327.52,Sleep related leg cramps,Sleep related leg cramps
327.53,Sleep related bruxism,Sleep related bruxism
327.59,Other organic sleep related movement disorders,Organic sleep movemt NEC
327.8,Other organic sleep disorders,Sleep organic disord NEC
330.0,Leukodystrophy,Leukodystrophy
330.1,Cerebral lipidoses,Cerebral lipidoses
330.2,Cerebral degeneration in generalized lipidoses,Cereb degen in lipidosis
330.3,Cerebral degeneration of childhood in other diseases classified elsewhere,Cerb deg chld in oth dis
330.8,Other specified cerebral degenerations in childhood,Cereb degen in child NEC
330.9,Unspecified cerebral degeneration in childhood,Cereb degen in child NOS
331.0,Alzheimer's disease,Alzheimer's disease
331.11,Pick's disease,Pick's disease
331.19,Other frontotemporal dementia,Frontotemp dementia NEC
331.2,Senile degeneration of brain,Senile degenerat brain
331.3,Communicating hydrocephalus,Communicat hydrocephalus
331.4,Obstructive hydrocephalus,Obstructiv hydrocephalus
331.5,Idiopathic normal pressure hydrocephalus (INPH),Norml pressure hydroceph
331.6,Corticobasal degeneration,Corticobasal degneration
331.7,Cerebral degeneration in diseases classified elsewhere,Cereb degen in oth dis
331.81,Reye's syndrome,Reye's syndrome
331.82,Dementia with lewy bodies,Dementia w Lewy bodies
331.83,Mild cognitive impairment - so stated,Mild cognitive impairemt
331.89,Other cerebral degeneration,Cereb degeneration NEC
331.9,Cerebral degeneration - unspecified,Cereb degeneration NOS
332.0,Paralysis agitans,Paralysis agitans
332.1,Secondary parkinsonism,Secondary parkinsonism
333.0,Other degenerative diseases of the basal ganglia,Degen basal ganglia NEC
333.1,Essential and other specified forms of tremor,Tremor NEC
333.2,Myoclonus,Myoclonus
333.3,Tics of organic origin,Tics of organic origin
333.4,Huntington's chorea,Huntington's chorea
333.5,Other choreas,Chorea NEC
333.6,Genetic torsion dystonia,Genetic torsion dystonia
333.71,Athetoid cerebral palsy,Athetoid cerebral palsy
333.72,Acute dystonia due to drugs,Acute dystonia d/t drugs
333.79,Other acquired torsion dystonia,Acq torsion dystonia NEC
333.81,Blepharospasm,Blepharospasm
333.82,Orofacial dyskinesia,Orofacial dyskinesia
333.83,Spasmodic torticollis,Spasmodic torticollis
333.84,Organic writers' cramp,Organic writers' cramp
333.85,Subacute dyskinesia due to drugs,Subac dyskinesa d/t drug
333.89,Other fragments of torsion dystonia,Fragm torsion dyston NEC
333.90,Unspecified extrapyramidal disease and abnormal movement disorder,Extrapyramidal dis NOS
333.91,Stiff-man syndrome,Stiff-man syndrome
333.92,Neuroleptic malignant syndrome,Neuroleptic malgnt synd
333.93,Benign shuddering attacks,Bnign shuddering attacks
333.94,Restless legs syndrome (RLS),Restless legs syndrome
333.99,Other extrapyramidal diseases and abnormal movement disorders,Extrapyramidal dis NEC
334.0,Friedreich's ataxia,Friedreich's ataxia
334.1,Hereditary spastic paraplegia,Hered spastic paraplegia
334.2,Primary cerebellar degeneration,Primary cerebellar degen
334.3,Other cerebellar ataxia,Cerebellar ataxia NEC
334.4,Cerebellar ataxia in diseases classified elsewhere,Cerebel atax in oth dis
334.8,Other spinocerebellar diseases,Spinocerebellar dis NEC
334.9,Spinocerebellar disease - unspecified,Spinocerebellar dis NOS
335.0,Werdnig-Hoffmann disease,Werdnig-hoffmann disease
335.10,Spinal muscular atrophy - unspecified,Spinal muscl atrophy NOS
335.11,Kugelberg-Welander disease,Kugelberg-welander dis
335.19,Other spinal muscular atrophy,Spinal muscl atrophy NEC
335.20,Amyotrophic lateral sclerosis,Amyotrophic sclerosis
335.21,Progressive muscular atrophy,Prog muscular atrophy
335.22,Progressive bulbar palsy,Progressive bulbar palsy
335.23,Pseudobulbar palsy,Pseudobulbar palsy
335.24,Primary lateral sclerosis,Prim lateral sclerosis
335.29,Other motor neuron disease,Motor neuron disease NEC
335.8,Other anterior horn cell diseases,Ant horn cell dis NEC
335.9,Anterior horn cell disease - unspecified,Ant horn cell dis NOS
336.0,Syringomyelia and syringobulbia,Syringomyelia
336.1,Vascular myelopathies,Vascular myelopathies
336.2,Subacute combined degeneration of spinal cord in diseases classified elsewhere,Comb deg cord in oth dis
336.3,Myelopathy in other diseases classified elsewhere,Myelopathy in oth dis
336.8,Other myelopathy,Myelopathy NEC
336.9,Unspecified disease of spinal cord,Spinal cord disease NOS
337.00,Idiopathic peripheral autonomic neuropathy - unspecified,Idio perph auto neur NOS
337.01,Carotid sinus syndrome,Carotid sinus syndrome
337.09,Other idiopathic peripheral autonomic neuropathy,Idio perph auto neur NEC
337.1,Peripheral autonomic neuropathy in disorders classified elsewhere,Aut neuropthy in oth dis
337.20,Reflex sympathetic dystrophy - unspecified,Unsp rflx sympth dystrph
337.21,Reflex sympathetic dystrophy of the upper limb,Rflx sym dystrph up limb
337.22,Reflex sympathetic dystrophy of the lower limb,Rflx sym dystrph lwr lmb
337.29,Reflex sympathetic dystrophy of other specified site,Rflx sym dystrph oth st
337.3,Autonomic dysreflexia,Autonomic dysreflexia
337.9,Unspecified disorder of autonomic nervous system,Autonomic nerve dis NEC
338.0,Central pain syndrome,Central pain syndrome
338.11,Acute pain due to trauma,Acute pain due to trauma
338.12,Acute post-thoracotomy pain,Acute post-thoracot pain
338.18,Other acute postoperative pain,Acute postop pain NEC
338.19,Other acute pain,Acute pain NEC
338.21,Chronic pain due to trauma,Chronc pain d/t trauma
338.22,Chronic post-thoracotomy pain,Chron post-thoracot pain
338.28,Other chronic postoperative pain,Chronic postop pain NEC
338.29,Other chronic pain,Chronic pain NEC
338.3,Neoplasm related pain (acute) (chronic),Neoplasm related pain
338.4,Chronic pain syndrome,Chronic pain syndrome
339.00,Cluster headache syndrome - unspecified,Cluster headache syn NOS
339.01,Episodic cluster headache,Episodc cluster headache
339.02,Chronic cluster headache,Chronic cluster headache
339.03,Episodic paroxysmal hemicrania,Episdc paroxyml hemicran
339.04,Chronic paroxysmal hemicrania,Chr paroxysml hemicrania
339.05,Short lasting unilateral neuralgiform headache with conjunctival injection and tearing,Shrt lst uni nral hdache
339.09,Other trigeminal autonomic cephalgias,Trigem autonmc cephl NEC
339.10,Tension type headache - unspecified,Tension headache NOS
339.11,Episodic tension type headache,Episdic tension headache
339.12,Chronic tension type headache,Chronic tension headache
339.20,Post-traumatic headache - unspecified,Post-trauma headache NOS
339.21,Acute post-traumatic headache,Ac post-trauma headache
339.22,Chronic post-traumatic headache,Chr post-trauma headache
339.3,Drug induced headache - not elsewhere classified,Drug induce headache NEC
339.41,Hemicrania continua,Hemicrania continua
339.42,New daily persistent headache,New daily pers headache
339.43,Primary thunderclap headache,Prim thnderclap headache
339.44,Other complicated headache syndrome,Comp headache synd NEC
339.81,Hypnic headache,Hypnic headache
339.82,Headache associated with sexual activity,Headache w sex activity
339.83,Primary cough headache,Primary cough headache
339.84,Primary exertional headache,Prim exertion headache
339.85,Primary stabbing headache,Prim stabbing headache
339.89,Other headache syndromes,Headache syndrome NEC
340.,Multiple sclerosis,Multiple sclerosis
341.0,Neuromyelitis optica,Neuromyelitis optica
341.1,Schilder's disease,Schilder's disease
341.20,Acute (transverse) myelitis NOS,Acute myelitis NOS
341.21,Acute (transverse) myelitis in conditions classified elsewhere,Acute myelitis oth cond
341.22,Idiopathic transverse myelitis,Idiopathc trans myelitis
341.8,Other demyelinating diseases of central nervous system,Cns demyelination NEC
341.9,Demyelinating disease of central nervous system - unspecified,Cns demyelination NOS
342.00,Flaccid hemiplegia and hemiparesis affecting unspecified side,Flccd hmiplga unspf side
342.01,Flaccid hemiplegia and hemiparesis affecting dominant side,Flccd hmiplga domnt side
342.02,Flaccid hemiplegia and hemiparesis affecting nondominant side,Flccd hmiplg nondmnt sde
342.10,Spastic hemiplegia and hemiparesis affecting unspecified side,Spstc hmiplga unspf side
342.11,Spastic hemiplegia and hemiparesis affecting dominant side,Spstc hmiplga domnt side
342.12,Spastic hemiplegia and hemiparesis affecting nondominant side,Spstc hmiplg nondmnt sde
342.80,Other specified hemiplegia and hemiparesis affecting unspecified side,Ot sp hmiplga unspf side
342.81,Other specified hemiplegia and hemiparesis affecting dominant side,Ot sp hmiplga domnt side
342.82,Other specified hemiplegia and hemiparesis affecting nondominant side,Ot sp hmiplg nondmnt sde
342.90,Hemiplegia - unspecified - affecting unspecified side,Unsp hemiplga unspf side
342.91,Hemiplegia - unspecified - affecting dominant side,Unsp hemiplga domnt side
342.92,Hemiplegia - unspecified - affecting nondominant side,Unsp hmiplga nondmnt sde
343.0,Congenital diplegia,Congenital diplegia
343.1,Congenital hemiplegia,Congenital hemiplegia
343.2,Congenital quadriplegia,Congenital quadriplegia
343.3,Congenital monoplegia,Congenital monoplegia
343.4,Infantile hemiplegia,Infantile hemiplegia
343.8,Other specified infantile cerebral palsy,Cerebral palsy NEC
343.9,Infantile cerebral palsy - unspecified,Cerebral palsy NOS
344.00,Quadriplegia - unspecified,Quadriplegia - unspecifd
344.01,Quadriplegia - C1-C4 - complete,Quadrplg c1-c4 - complete
344.02,Quadriplegia - C1-C4 - incomplete,Quadrplg c1-c4 - incomplt
344.03,Quadriplegia - C5-C7 - complete,Quadrplg c5-c7 - complete
344.04,Quadriplegia - C5-C7 - incomplete,Quadrplg c5-c7 - incomplt
344.09,Other quadriplegia,Other quadriplegia
344.1,Paraplegia,Paraplegia NOS
344.2,Diplegia of upper limbs,Diplegia of upper limbs
344.30,Monoplegia of lower limb affecting unspecified side,Monplga lwr lmb unsp sde
344.31,Monoplegia of lower limb affecting dominant side,Monplga lwr lmb dmnt sde
344.32,Monoplegia of lower limb affecting nondominant side,Mnplg lwr lmb nondmnt sd
344.40,Monoplegia of upper limb affecting unspecified side,Monplga upr lmb unsp sde
344.41,Monoplegia of upper limb affecting dominant side,Monplga upr lmb dmnt sde
344.42,Monoplegia of upper limb affecting nondominant sde,Mnplg upr lmb nondmnt sd
344.5,Unspecified monoplegia,Monoplegia NOS
344.60,Cauda equina syndrome without mention of neurogenic bladder,Cauda equina synd NOS
344.61,Cauda equina syndrome with neurogenic bladder,Neurogenic bladder
344.81,Locked-in state,Locked-in state
344.89,Other specified paralytic syndrome,Oth spcf paralytic synd
344.9,Paralysis - unspecified,Paralysis NOS
345.00,Generalized nonconvulsive epilepsy - without mention of intractable epilepsy,Gen noncv ep w/o intr ep
345.01,Generalized nonconvulsive epilepsy - with intractable epilepsy,Gen nonconv ep w intr ep
345.10,Generalized convulsive epilepsy - without mention of intractable epilepsy,Gen cnv epil w/o intr ep
345.11,Generalized convulsive epilepsy - with intractable epilepsy,Gen cnv epil w intr epil
345.2,Petit mal status,Petit mal status
345.3,Grand mal status,Grand mal status
345.40,Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures - without mention of intractable epilepsy,Psymotr epil w/o int epi
345.41,Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures - with intractable epilepsy,Psymotr epil w intr epil
345.50,Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures - without mention of intractable epilepsy,Part epil w/o intr epil
345.51,Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures - with intractable epilepsy,Part epil w intr epil
345.60,Infantile spasms - without mention of intractable epilepsy,Inf spasm w/o intr epil
345.61,Infantile spasms - with intractable epilepsy,Inf spasm w intract epil
345.70,Epilepsia partialis continua - without mention of intractable epilepsy,Epil par cont w/o int ep
345.71,Epilepsia partialis continua - with intractable epilepsy,Epil par cont w intr epi
345.80,Other forms of epilepsy and recurrent seizures - without mention of intractable epilepsy,Epilep NEC w/o intr epil
345.81,Other forms of epilepsy and recurrent seizures - with intractable epilepsy,Epilepsy NEC w intr epil
345.90,Epilepsy - unspecified - without mention of intractable epilepsy,Epilep NOS w/o intr epil
345.91,Epilepsy - unspecified - with intractable epilepsy,Epilepsy NOS w intr epil
346.00,Migraine with aura - without mention of intractable migraine without mention of status migrainosus,Mgrn w aura wo ntrc mgrn
346.01,Migraine with aura - with intractable migraine - so stated - without mention of status migrainosus,Mgrn w aura w ntrc mgrn
346.02,Migraine with aura - without mention of intractable migraine with status migrainosus,Mgrn w aur wo ntrc mgrn
346.03,Migraine with aura - with intractable migraine - so stated - with status migrainosus,Mgrn w aura w ntrc mgrn
346.10,Migraine without aura - without mention of intractable migraine without mention of status migrainosus,Mgrn wo aura wo ntrc mgr
346.11,Migraine without aura - with intractable migraine - so stated - without mention of status migrainosus,Mgrn wo aura w ntrc mgrn
346.12,Migraine without aura - without mention of intractable migraine with status migrainosus,Mgrn wo aura wo ntrc mgr
346.13,Migraine without aura - with intractable migraine - so stated - with status migrainosus,Mgrn wo aura w ntrc mgrn
346.20,Variants of migraine - not elsewhere classified - without mention of intractable migraine without mention of status migrainosus,Vrnt mgrn wo ntr mgr NEC
346.21,Variants of migraine - not elsewhere classified - with intractable migraine - so stated - without mention of status migrainosus,Vrnt mgrn w ntrc mgr NEC
346.22,Variants of migraine - not elsewhere classified - without mention of intractable migraine with status migrainosus,Var mgr NEC wo ntc mgr
