Diag Code   Short Description               Long Description
1473        Mal neo ant nasopharynx         Malignant neoplasm of anterior wall of nasopharynx
1478        Mal neo nasopharynx NEC         Malignant neoplasm of other specified sites of nasopharynx
1479        Mal neo nasopharynx NOS         Malignant neoplasm of nasopharynx, unspecified site
1480        Mal neo postcricoid             Malignant neoplasm of postcricoid region of hypopharynx
1481        Mal neo pyriform sinus          Malignant neoplasm of pyriform sinus
1482        Mal neo aryepiglott fold        Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect
1483        Mal neo post hypopharynx        Malignant neoplasm of posterior hypopharyngeal wall
1488        Mal neo hypopharynx NEC         Malignant neoplasm of other specified sites of hypopharynx
1489        Mal neo hypopharynx NOS         Malignant neoplasm of hypopharynx, unspecified site
1490        Mal neo pharynx NOS             Malignant neoplasm of pharynx, unspecified
1491        Mal neo waldeyer's ring         Malignant neoplasm of waldeyer's ring
1498        Mal neo oral/pharynx NEC        Malignant neoplasm of other sites within the lip and oral cavity
1499        Mal neo orophryn ill-def        Malignant neoplasm of ill-defined sites within the lip and oral cavity
1500        Mal neo cervical esophag        Malignant neoplasm of cervical esophagus
1501        Mal neo thoracic esophag        Malignant neoplasm of thoracic esophagus
1502        Mal neo abdomin esophag         Malignant neoplasm of abdominal esophagus
1503        Mal neo upper 3rd esoph         Malignant neoplasm of upper third of esophagus
1504        Mal neo middle 3rd esoph        Malignant neoplasm of middle third of esophagus
1505        Mal neo lower 3rd esoph         Malignant neoplasm of lower third of esophagus
1508        Mal neo esophagus NEC           Malignant neoplasm of other specified part of esophagus
1509        Mal neo esophagus NOS           Malignant neoplasm of esophagus, unspecified site
1510        Mal neo stomach cardia          Malignant neoplasm of cardia
1511        Malignant neo pylorus           Malignant neoplasm of pylorus
1512        Mal neo pyloric antrum          Malignant neoplasm of pyloric antrum
1513        Mal neo stomach fundus          Malignant neoplasm of fundus of stomach
1514        Mal neo stomach body            Malignant neoplasm of body of stomach
1515        Mal neo stom lesser curv        Malignant neoplasm of lesser curvature of stomach, unspecified
1516        Mal neo stom great curv         Malignant neoplasm of greater curvature of stomach, unspecified
1518        Malig neopl stomach NEC         Malignant neoplasm of other specified sites of stomach
1519        Malig neopl stomach NOS         Malignant neoplasm of stomach, unspecified site
1520        Malignant neopl duodenum        Malignant neoplasm of duodenum
1521        Malignant neopl jejunum         Malignant neoplasm of jejunum
1522        Malignant neoplasm ileum        Malignant neoplasm of ileum
1523        Mal neo meckel's divert         Malignant neoplasm of Meckel's diverticulum
1528        Mal neo small bowel NEC         Malignant neoplasm of other specified sites of small intestine
1529        Mal neo small bowel NOS         Malignant neoplasm of small intestine, unspecified site
1530        Mal neo hepatic flexure         Malignant neoplasm of hepatic flexure
1531        Mal neo transverse colon        Malignant neoplasm of transverse colon
1532        Mal neo descend colon           Malignant neoplasm of descending colon
1533        Mal neo sigmoid colon           Malignant neoplasm of sigmoid colon
1534        Malignant neoplasm cecum        Malignant neoplasm of cecum
1535        Malignant neo appendix          Malignant neoplasm of appendix vermiformis
1536        Malig neo ascend colon          Malignant neoplasm of ascending colon
1537        Mal neo splenic flexure         Malignant neoplasm of splenic flexure
1538        Malignant neo colon NEC         Malignant neoplasm of other specified sites of large intestine
1539        Malignant neo colon NOS         Malignant neoplasm of colon, unspecified site
1540        Mal neo rectosigmoid jct        Malignant neoplasm of rectosigmoid junction
1541        Malignant neopl rectum          Malignant neoplasm of rectum
1542        Malig neopl anal canal          Malignant neoplasm of anal canal
1543        Malignant neo anus NOS          Malignant neoplasm of anus, unspecified site
1548        Mal neo rectum/anus NEC         Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus
1550        Mal neo liver, primary          Malignant neoplasm of liver, primary
1551        Mal neo intrahepat ducts        Malignant neoplasm of intrahepatic bile ducts
1552        Malignant neo liver NOS         Malignant neoplasm of liver, not specified as primary or secondary
1560        Malig neo gallbladder           Malignant neoplasm of gallbladder
1561        Mal neo extrahepat ducts        Malignant neoplasm of extrahepatic bile ducts
1562        Mal neo ampulla of vater        Malignant neoplasm of ampulla of vater
1568        Malig neo biliary NEC           Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts
1569        Malig neo biliary NOS           Malignant neoplasm of biliary tract, part unspecified site
1570        Mal neo pancreas head           Malignant neoplasm of head of pancreas
1571        Mal neo pancreas body           Malignant neoplasm of body of pancreas
1572        Mal neo pancreas tail           Malignant neoplasm of tail of pancreas
1573        Mal neo pancreatic duct         Malignant neoplasm of pancreatic duct
1574        Mal neo islet langerhans        Malignant neoplasm of islets of langerhans
1578        Malig neo pancreas NEC          Malignant neoplasm of other specified sites of pancreas
1579        Malig neo pancreas NOS          Malignant neoplasm of pancreas, part unspecified
1580        Mal neo retroperitoneum         Malignant neoplasm of retroperitoneum
1588        Mal neo peritoneum NEC          Malignant neoplasm of specified parts of peritoneum
1589        Mal neo peritoneum NOS          Malignant neoplasm of peritoneum, unspecified
1590        Malig neo intestine NOS         Malignant neoplasm of intestinal tract, part unspecified
1591        Malignant neo spleen NEC        Malignant neoplasm of spleen, not elsewhere classified
1598        Mal neo gi/intra-abd NEC        Malignant neoplasm of other sites of digestive system and intra-abdominal organs
1599        Mal neo GI tract ill-def        Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum
1600        Mal neo nasal cavities          Malignant neoplasm of nasal cavities
1601        Malig neo middle ear            Malignant neoplasm of auditory tube, middle ear, and mastoid air cells
1602        Mal neo maxillary sinus         Malignant neoplasm of maxillary sinus
1603        Mal neo ethmoidal sinus         Malignant neoplasm of ethmoidal sinus
1604        Malig neo frontal sinus         Malignant neoplasm of frontal sinus
1605        Mal neo sphenoid sinus          Malignant neoplasm of sphenoidal sinus
1608        Mal neo access sinus NEC        Malignant neoplasm of other accessory sinuses
1609        Mal neo access sinus NOS        Malignant neoplasm of accessory sinus, unspecified
1610        Malignant neo glottis           Malignant neoplasm of glottis
1611        Malig neo supraglottis          Malignant neoplasm of supraglottis
1612        Malig neo subglottis            Malignant neoplasm of subglottis
1613        Mal neo cartilage larynx        Malignant neoplasm of laryngeal cartilages
1618        Malignant neo larynx NEC        Malignant neoplasm of other specified sites of larynx
1619        Malignant neo larynx NOS        Malignant neoplasm of larynx, unspecified
1620        Malignant neo trachea           Malignant neoplasm of trachea
1622        Malig neo main bronchus         Malignant neoplasm of main bronchus
1623        Mal neo upper lobe lung         Malignant neoplasm of upper lobe, bronchus or lung
1624        Mal neo middle lobe lung        Malignant neoplasm of middle lobe, bronchus or lung
1625        Mal neo lower lobe lung         Malignant neoplasm of lower lobe, bronchus or lung
1628        Mal neo bronch/lung NEC         Malignant neoplasm of other parts of bronchus or lung
1629        Mal neo bronch/lung NOS         Malignant neoplasm of bronchus and lung, unspecified
1630        Mal neo parietal pleura         Malignant neoplasm of parietal pleura
1631        Mal neo visceral pleura         Malignant neoplasm of visceral pleura
1638        Malig neopl pleura NEC          Malignant neoplasm of other specified sites of pleura
1639        Malig neopl pleura NOS          Malignant neoplasm of pleura, unspecified
1640        Malignant neopl thymus          Malignant neoplasm of thymus
1641        Malignant neopl heart           Malignant neoplasm of heart
1642        Mal neo ant mediastinum         Malignant neoplasm of anterior mediastinum
1643        Mal neo post mediastinum        Malignant neoplasm of posterior mediastinum
1648        Mal neo mediastinum NEC         Malignant neoplasm of other parts of mediastinum
1649        Mal neo mediastinum NOS         Malignant neoplasm of mediastinum, part unspecified
1650        Mal neo upper resp NOS          Malignant neoplasm of upper respiratory tract, part unspecified
1658        Mal neo thorax/resp NEC         Malignant neoplasm of other sites within the respiratory system and intrathoracic organs
1659        Mal neo resp system NOS         Malignant neoplasm of ill-defined sites within the respiratory system
1700        Mal neo skull/face bone         Malignant neoplasm of bones of skull and face, except mandible
1701        Malignant neo mandible          Malignant neoplasm of mandible
1702        Malig neo vertebrae             Malignant neoplasm of vertebral column, excluding sacrum and coccyx
1703        Mal neo ribs/stern/clav         Malignant neoplasm of ribs, sternum, and clavicle
1704        Mal neo long bones arm          Malignant neoplasm of scapula and long bones of upper limb
1705        Mal neo bones wrist/hand        Malignant neoplasm of short bones of upper limb
1706        Mal neo pelvic girdle           Malignant neoplasm of pelvic bones, sacrum, and coccyx
1707        Mal neo long bones leg          Malignant neoplasm of long bones of lower limb
1708        Mal neo bones ankle/foot        Malignant neoplasm of short bones of lower limb
1709        Malig neopl bone NOS            Malignant neoplasm of bone and articular cartilage, site unspecified
1710        Mal neo soft tissue head        Malignant neoplasm of connective and other soft tissue of head, face, and neck
1712        Mal neo soft tissue arm         Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder
1713        Mal neo soft tissue leg         Malignant neoplasm of connective and other soft tissue of lower limb, including hip
1714        Mal neo soft tis thorax         Malignant neoplasm of connective and other soft tissue of thorax
1715        Mal neo soft tis abdomen        Malignant neoplasm of connective and other soft tissue of abdomen
1716        Mal neo soft tis pelvis         Malignant neoplasm of connective and other soft tissue of pelvis
1717        Mal neopl trunk NOS             Malignant neoplasm of connective and other soft tissue of trunk, unspecified
1718        Mal neo soft tissue NEC         Malignant neoplasm of other specified sites of connective and other soft tissue
1719        Mal neo soft tissue NOS         Malignant neoplasm of connective and other soft tissue, site unspecified
1720        Malig melanoma lip              Malignant melanoma of skin of lip
1721        Malig melanoma eyelid           Malignant melanoma of skin of eyelid, including canthus
1722        Malig melanoma ear              Malignant melanoma of skin of ear and external auditory canal
1723        Mal melanom face NEC/NOS        Malignant melanoma of skin of other and unspecified parts of face
1724        Mal melanoma scalp/neck         Malignant melanoma of skin of scalp and neck
1725        Malig melanoma trunk            Malignant melanoma of skin of trunk, except scrotum
1726        Malig melanoma arm              Malignant melanoma of skin of upper limb, including shoulder
1727        Malig melanoma leg              Malignant melanoma of skin of lower limb, including hip
1728        Malig melanoma skin NEC         Malignant melanoma of other specified sites of skin
1729        Malig melanoma skin NOS         Melanoma of skin, site unspecified
1730        Malig neo skin lip              Malig neo skin lip
17300       Malig neopl skin lip NOS        Unspecified malignant neoplasm of skin of lip
17301       Basal cell ca skin lip          Basal cell carcinoma of skin of lip
17302       Squamous cell ca skn lip        Squamous cell carcinoma of skin of lip
17309       Malig neo skin lip NEC          Other specified malignant neoplasm of skin of lip
1731        Malig neo skin eyelid           Malig neo skin eyelid
17310       Mal neo eyelid/canth NOS        Unspecified malignant neoplasm of eyelid, including canthus
17311       Basal cell ca lid/canth         Basal cell carcinoma of eyelid, including canthus
17312       Squam cell ca lid/canth         Squamous cell carcinoma of eyelid, including canthus
17319       Mal neo eyelid/canth NEC        Other specified malignant neoplasm of eyelid, including canthus
1732        Malig neo skin ear              Malig neo skin ear
17320       Malig neo skin ear NOS          Unspecified malignant neoplasm of skin of ear and external auditory canal
17321       Basal cell ca skin ear          Basal cell carcinoma of skin of ear and external auditory canal
17322       Squam cell ca skin ear          Squamous cell carcinoma of skin of ear and external auditory canal
17329       Neo skin ear/ex canl NEC        Other specified malignant neoplasm of skin of ear and external auditory canal
1733        Mal neo skin face NEC           Mal neo skin face NEC
17330       Mal neo skn face NEC/NOS        Unspecified malignant neoplasm of skin of other and unspecified parts of face
17331       Bsl cel skn face NEC/NOS        Basal cell carcinoma of skin of other and unspecified parts of face
17332       Sqm cel skn face NEC/NOS        Squamous cell carcinoma of skin of other and unspecified parts of face
17339       Mal neo skn face NEC/NOS        Other specified malignant neoplasm of skin of other and unspecified parts of face
1734        Mal neo scalp/skin neck         Mal neo scalp/skin neck
17340       Mal neo sclp/skn nck NOS        Unspecified malignant neoplasm of scalp and skin of neck
17341       Bsl cell ca scalp/skn nk        Basal cell carcinoma of scalp and skin of neck
17342       Sqam cell ca sclp/skn nk        Squamous cell carcinoma of scalp and skin of neck
17349       Mal neo sclp/skn nck NEC        Other specified malignant neoplasm of scalp and skin of neck
1735        Malig neo skin trunk            Malig neo skin trunk
17350       Malig neo skin trunk NOS        Unspecified malignant neoplasm of skin of trunk, except scrotum
17351       Basal cell ca skin trunk        Basal cell carcinoma of skin of trunk, except scrotum
17352       Squam cell ca skin trunk        Squamous cell carcinoma of skin of trunk, except scrotum
17359       Malig neo skin trunk NEC        Other specified malignant neoplasm of skin of trunk, except scrotum
1736        Malig neo skin arm              Malig neo skin arm
17360       Mal neo skin up limb NOS        Unspecified malignant neoplasm of skin of upper limb, including shoulder
17361       Basal cell ca skn up lmb        Basal cell carcinoma of skin of upper limb, including shoulder
17362       Squam cell ca skn up lmb        Squamous cell carcinoma of skin of upper limb, including shoulder
17369       Malig neo skn up lmb NEC        Other specified malignant neoplasm of skin of upper limb, including shoulder
1737        Malig neo skin leg              Malig neo skin leg
17370       Mal neo skn low limb NOS        Unspecified malignant neoplasm of skin of lower limb, including hip
17371       Basl cell ca skn low lmb        Basal cell carcinoma of skin of lower limb, including hip
17372       Sqam cell ca skn low lmb        Squamous cell carcinoma of skin of lower limb, including hip
17379       Mal neo skin low lmb NEC        Other specified malignant neoplasm of skin of lower limb, including hip
1738        Malig neo skin NEC              Malig neo skin NEC
17380       Mal neo skn site NEC/NOS        Unspecified malignant neoplasm of other specified sites of skin
17381       Bsl cell ca skn site NEC        Basal cell carcinoma of other specified sites of skin
17382       Sqm cell ca skn site NEC        Squamous cell carcinoma of other specified sites of skin
17389       Oth mal neo skn site NEC        Other specified malignant neoplasm of other specified sites of skin
1739        Malig neo skin NOS              Malig neo skin NOS
17390       Malig neo skin site NOS         Unspecified malignant neoplasm of skin, site unspecified
17391       Basal cell ca skin NOS          Basal cell carcinoma of skin, site unspecified
17392       Squam cell ca skin NOS          Squamous cell carcinoma of skin, site unspecified
17399       Oth mal neo skn site NOS        Other specified malignant neoplasm of skin, site unspecified
1740        Malig neo nipple                Malignant neoplasm of nipple and areola of female breast
1741        Mal neo breast-central          Malignant neoplasm of central portion of female breast
1742        Mal neo breast up-inner         Malignant neoplasm of upper-inner quadrant of female breast
1743        Mal neo breast low-inner        Malignant neoplasm of lower-inner quadrant of female breast
1744        Mal neo breast up-outer         Malignant neoplasm of upper-outer quadrant of female breast
1745        Mal neo breast low-outer        Malignant neoplasm of lower-outer quadrant of female breast
1746        Mal neo breast-axillary         Malignant neoplasm of axillary tail of female breast
1748        Malign neopl breast NEC         Malignant neoplasm of other specified sites of female breast
1749        Malign neopl breast NOS         Malignant neoplasm of breast (female), unspecified
1750        Mal neo male nipple             Malignant neoplasm of nipple and areola of male breast
1759        Mal neo male breast NEC         Malignant neoplasm of other and unspecified sites of male breast
1760        Skin - kaposi's sarcoma         Kaposi's sarcoma, skin
1761        Sft tisue - kpsi's srcma        Kaposi's sarcoma, soft tissue
1762        Palate - kpsi's sarcoma         Kaposi's sarcoma, palate
1763        GI sites - kpsi's srcoma        Kaposi's sarcoma, gastrointestinal sites
1764        Lung - kaposi's sarcoma         Kaposi's sarcoma, lung
1765        Lym nds - kpsi's sarcoma        Kaposi's sarcoma, lymph nodes
1768        Spf sts - kpsi's sarcoma        Kaposi's sarcoma, other specified sites
1769        Kaposi's sarcoma NOS            Kaposi's sarcoma, unspecified site
179         Malig neopl uterus NOS          Malignant neoplasm of uterus, part unspecified
1800        Malig neo endocervix            Malignant neoplasm of endocervix
1801        Malig neo exocervix             Malignant neoplasm of exocervix
1808        Malig neo cervix NEC            Malignant neoplasm of other specified sites of cervix
1809        Mal neo cervix uteri NOS        Malignant neoplasm of cervix uteri, unspecified site
181         Malignant neopl placenta        Malignant neoplasm of placenta
1820        Malig neo corpus uteri          Malignant neoplasm of corpus uteri, except isthmus
1821        Mal neo uterine isthmus         Malignant neoplasm of isthmus
1828        Mal neo body uterus NEC         Malignant neoplasm of other specified sites of body of uterus
1830        Malign neopl ovary              Malignant neoplasm of ovary
1832        Mal neo fallopian tube          Malignant neoplasm of fallopian tube
1833        Mal neo broad ligament          Malignant neoplasm of broad ligament of uterus
1834        Malig neo parametrium           Malignant neoplasm of parametrium
1835        Mal neo round ligament          Malignant neoplasm of round ligament of uterus
1838        Mal neo adnexa NEC              Malignant neoplasm of other specified sites of uterine adnexa
1839        Mal neo adnexa NOS              Malignant neoplasm of uterine adnexa, unspecified site
1840        Malign neopl vagina             Malignant neoplasm of vagina
1841        Mal neo labia majora            Malignant neoplasm of labia majora
1842        Mal neo labia minora            Malignant neoplasm of labia minora
1843        Malign neopl clitoris           Malignant neoplasm of clitoris
1844        Malign neopl vulva NOS          Malignant neoplasm of vulva, unspecified site
1848        Mal neo female genit NEC        Malignant neoplasm of other specified sites of female genital organs
1849        Mal neo female genit NOS        Malignant neoplasm of female genital organ, site unspecified
185         Malign neopl prostate           Malignant neoplasm of prostate
1860        Mal neo undescend testis        Malignant neoplasm of undescended testis
1869        Malig neo testis NEC            Malignant neoplasm of other and unspecified testis
1871        Malign neopl prepuce            Malignant neoplasm of prepuce
1872        Malig neo glans penis           Malignant neoplasm of glans penis
1873        Malig neo penis body            Malignant neoplasm of body of penis
1874        Malig neo penis NOS             Malignant neoplasm of penis, part unspecified
1875        Malig neo epididymis            Malignant neoplasm of epididymis
1876        Mal neo spermatic cord          Malignant neoplasm of spermatic cord
1877        Malign neopl scrotum            Malignant neoplasm of scrotum
1878        Mal neo male genital NEC        Malignant neoplasm of other specified sites of male genital organs
1879        Mal neo male genital NOS        Malignant neoplasm of male genital organ, site unspecified
1880        Mal neo bladder-trigone         Malignant neoplasm of trigone of urinary bladder
1881        Mal neo bladder-dome            Malignant neoplasm of dome of urinary bladder
1882        Mal neo bladder-lateral         Malignant neoplasm of lateral wall of urinary bladder
1883        Mal neo bladder-anterior        Malignant neoplasm of anterior wall of urinary bladder
1884        Mal neo bladder-post            Malignant neoplasm of posterior wall of urinary bladder
1885        Mal neo bladder neck            Malignant neoplasm of bladder neck
1886        Mal neo ureteric orifice        Malignant neoplasm of ureteric orifice
1887        Malig neo urachus               Malignant neoplasm of urachus
1888        Malig neo bladder NEC           Malignant neoplasm of other specified sites of bladder
1889        Malig neo bladder NOS           Malignant neoplasm of bladder, part unspecified
1890        Malig neopl kidney              Malignant neoplasm of kidney, except pelvis
1891        Malig neo renal pelvis          Malignant neoplasm of renal pelvis
1892        Malign neopl ureter             Malignant neoplasm of ureter
1893        Malign neopl urethra            Malignant neoplasm of urethra
1894        Mal neo paraurethral            Malignant neoplasm of paraurethral glands
1898        Mal neo urinary NEC             Malignant neoplasm of other specified sites of urinary organs
1899        Mal neo urinary NOS             Malignant neoplasm of urinary organ, site unspecified
1900        Malign neopl eyeball            Malignant neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid
1901        Malign neopl orbit              Malignant neoplasm of orbit
1902        Mal neo lacrimal gland          Malignant neoplasm of lacrimal gland
1903        Mal neo conjunctiva             Malignant neoplasm of conjunctiva
1904        Malign neopl cornea             Malignant neoplasm of cornea
1905        Malign neopl retina             Malignant neoplasm of retina
1906        Malign neopl choroid            Malignant neoplasm of choroid
1907        Mal neo lacrimal duct           Malignant neoplasm of lacrimal duct
1908        Malign neopl eye NEC            Malignant neoplasm of other specified sites of eye
1909        Malign neopl eye NOS            Malignant neoplasm of eye, part unspecified
1910        Malign neopl cerebrum           Malignant neoplasm of cerebrum, except lobes and ventricles
1911        Malig neo frontal lobe          Malignant neoplasm of frontal lobe
1912        Mal neo temporal lobe           Malignant neoplasm of temporal lobe
1913        Mal neo parietal lobe           Malignant neoplasm of parietal lobe
1914        Mal neo occipital lobe          Malignant neoplasm of occipital lobe
1915        Mal neo cereb ventricle         Malignant neoplasm of ventricles
1916        Mal neo cerebellum NOS          Malignant neoplasm of cerebellum nos
1917        Mal neo brain stem              Malignant neoplasm of brain stem
1918        Malig neo brain NEC             Malignant neoplasm of other parts of brain
1919        Malig neo brain NOS             Malignant neoplasm of brain, unspecified
1920        Mal neo cranial nerves          Malignant neoplasm of cranial nerves
1921        Mal neo cerebral mening         Malignant neoplasm of cerebral meninges
1922        Mal neo spinal cord             Malignant neoplasm of spinal cord
1923        Mal neo spinal meninges         Malignant neoplasm of spinal meninges
1928        Mal neo nervous syst NEC        Malignant neoplasm of other specified sites of nervous system
1929        Mal neo nervous syst NOS        Malignant neoplasm of nervous system, part unspecified
193         Malign neopl thyroid            Malignant neoplasm of thyroid gland
1940        Malign neopl adrenal            Malignant neoplasm of adrenal gland
1941        Malig neo parathyroid           Malignant neoplasm of parathyroid gland
1943        Malig neo pituitary             Malignant neoplasm of pituitary gland and craniopharyngeal duct
1944        Malign neo pineal gland         Malignant neoplasm of pineal gland
1945        Mal neo carotid body            Malignant neoplasm of carotid body
1946        Mal neo paraganglia NEC         Malignant neoplasm of aortic body and other paraganglia
1948        Mal neo endocrine NEC           Malignant neoplasm of other endocrine glands and related structures
1949        Mal neo endocrine NOS           Malignant neoplasm of endocrine gland, site unspecified
1950        Mal neo head/face/neck          Malignant neoplasm of head, face, and neck
1951        Malign neopl thorax             Malignant neoplasm of thorax
1952        Malig neo abdomen               Malignant neoplasm of abdomen
1953        Malign neopl pelvis             Malignant neoplasm of pelvis
1954        Malign neopl arm                Malignant neoplasm of upper limb
1955        Malign neopl leg                Malignant neoplasm of lower limb
1958        Malig neo site NEC              Malignant neoplasm of other specified sites
1960        Mal neo lymph-head/neck         Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck
1961        Mal neo lymph-intrathor         Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
1962        Mal neo lymph intra-abd         Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
1963        Mal neo lymph-axilla/arm        Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb
1965        Mal neo lymph-inguin/leg        Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb
1966        Mal neo lymph-intrapelv         Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
1968        Mal neo lymph node-mult         Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites
1969        Mal neo lymph node NOS          Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified
1970        Secondary malig neo lung        Secondary malignant neoplasm of lung
1971        Sec mal neo mediastinum         Secondary malignant neoplasm of mediastinum
1972        Second malig neo pleura         Secondary malignant neoplasm of pleura
1973        Sec malig neo resp NEC          Secondary malignant neoplasm of other respiratory organs
1974        Sec malig neo sm bowel          Secondary malignant neoplasm of small intestine including duodenum
1975        Sec malig neo lg bowel          Secondary malignant neoplasm of large intestine and rectum
1976        Sec mal neo peritoneum          Secondary malignant neoplasm of retroperitoneum and peritoneum
1977        Second malig neo liver          Malignant neoplasm of liver, secondary
1978        Sec mal neo GI NEC              Secondary malignant neoplasm of other digestive organs and spleen
1980        Second malig neo kidney         Secondary malignant neoplasm of kidney
1981        Sec malig neo urin NEC          Secondary malignant neoplasm of other urinary organs
1982        Secondary malig neo skin        Secondary malignant neoplasm of skin
1983        Sec mal neo brain/spine         Secondary malignant neoplasm of brain and spinal cord
1984        Sec malig neo nerve NEC         Secondary malignant neoplasm of other parts of nervous system
1985        Secondary malig neo bone        Secondary malignant neoplasm of bone and bone marrow
1986        Second malig neo ovary          Secondary malignant neoplasm of ovary
1987        Second malig neo adrenal        Secondary malignant neoplasm of adrenal gland
19881       Second malig neo breast         Secondary malignant neoplasm of breast
19882       Second malig neo genital        Secondary malignant neoplasm of genital organs
19889       Secondary malig neo NEC         Secondary malignant neoplasm of other specified sites
1990        Malig neo disseminated          Disseminated malignant neoplasm without specification of site
1991        Malignant neoplasm NOS          Other malignant neoplasm without specification of site
1992        Malig neopl-transp organ        Malignant neoplasm associated with transplant organ
20000       Retclsrc unsp xtrndl org        Reticulosarcoma, unspecified site, extranodal and solid organ sites
20001       Reticulosarcoma head            Reticulosarcoma, lymph nodes of head, face, and neck
20002       Reticulosarcoma thorax          Reticulosarcoma, intrathoracic lymph nodes
20003       Reticulosarcoma abdom           Reticulosarcoma, intra-abdominal lymph nodes
20004       Reticulosarcoma axilla          Reticulosarcoma, lymph nodes of axilla and upper limb
20005       Reticulosarcoma inguin          Reticulosarcoma, lymph nodes of inguinal region and lower limb
20006       Reticulosarcoma pelvic          Reticulosarcoma, intrapelvic lymph nodes
20007       Reticulosarcoma spleen          Reticulosarcoma, spleen
20008       Reticulosarcoma mult            Reticulosarcoma, lymph nodes of multiple sites
20010       Lymphsrc unsp xtrndl org        Lymphosarcoma, unspecified site, extranodal and solid organ sites
20011       Lymphosarcoma head              Lymphosarcoma, lymph nodes of head, face, and neck
20012       Lymphosarcoma thorax            Lymphosarcoma, intrathoracic lymph nodes
20013       Lymphosarcoma abdom             Lymphosarcoma, intra-abdominal lymph nodes
20014       Lymphosarcoma axilla            Lymphosarcoma, lymph nodes of axilla and upper limb
20015       Lymphosarcoma inguin            Lymphosarcoma, lymph nodes of inguinal region and lower limb
20016       Lymphosarcoma pelvic            Lymphosarcoma, intrapelvic lymph nodes
20017       Lymphosarcoma spleen            Lymphosarcoma, spleen
20018       Lymphosarcoma mult              Lymphosarcoma, lymph nodes of multiple sites
20020       Brkt tmr unsp xtrndl org        Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites
20021       Burkitt's tumor head            Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck
20022       Burkitt's tumor thorax          Burkitt's tumor or lymphoma, intrathoracic lymph nodes
20023       Burkitt's tumor abdom           Burkitt's tumor or lymphoma, intra-abdominal lymph nodes
20024       Burkitt's tumor axilla          Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb
20025       Burkitt's tumor inguin          Burkitt's tumor or lymphoma, lymph nodes of inguinal region and lower limb
20026       Burkitt's tumor pelvic          Burkitt's tumor or lymphoma, intrapelvic lymph nodes
20027       Burkitt's tumor spleen          Burkitt's tumor or lymphoma, spleen
20028       Burkitt's tumor mult            Burkitt's tumor or lymphoma, lymph nodes of multiple sites
20030       Margnl zone lym xtrndl          Marginal zone lymphoma, unspecified site, extranodal and solid organ sites
20031       Margin zone lym head            Marginal zone lymphoma, lymph nodes of head, face, and neck
20032       Margin zone lym thorax          Marginal zone lymphoma, intrathoracic lymph nodes
20033       Margin zone lym abdom           Marginal zone lymphoma, intraabdominal lymph nodes
20034       Margin zone lym axilla          Marginal zone lymphoma, lymph nodes of axilla and upper limb
20035       Margin zone lym inguin          Marginal zone lymphoma, lymph nodes of inguinal region and lower limb
20036       Margin zone lym pelvic          Marginal zone lymphoma, intrapelvic lymph nodes
20037       Margin zone lymph spleen        Marginal zone lymphoma, spleen
20038       Margin zone lymph multip        Marginal zone lymphoma, lymph nodes of multiple sites
20040       Mantle cell lym xtrrndl         Mantle cell lymphoma, unspecified site, extranodal and solid organ sites
20041       Mantle cell lymph head          Mantle cell lymphoma, lymph nodes of head, face, and neck
20042       Mantle cell lymph thorax        Mantle cell lymphoma, intrathoracic lymph nodes
20043       Mantle cell lymph abdom         Mantle cell lymphoma, intra-abdominal lymph nodes
20044       Mantle cell lymph axilla        Mantle cell lymphoma, lymph nodes of axilla and upper limb
20045       Mantle cell lymph inguin        Mantle cell lymphoma, lymph nodes of inguinal region and lower limb
20046       Mantle cell lymph pelvic        Mantle cell lymphoma, intrapelvic lymph nodes
20047       Mantle cell lymph spleen        Mantle cell lymphoma, spleen
20048       Mantle cell lymph multip        Mantle cell lymphoma, lymph nodes of multiple sites
20050       Primary CNS lymph xtrndl        Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites
20051       Primary CNS lymph head          Primary central nervous system lymphoma, lymph nodes of head, face, and neck
20052       Primary CNS lymph thorax        Primary central nervous system lymphoma, intrathoracic lymph nodes
20053       Primary CNS lymph abdom         Primary central nervous system lymphoma, intra-abdominal lymph nodes
20054       Primary CNS lymph axilla        Primary central nervous system lymphoma, lymph nodes of axilla and upper limb
20055       Primary CNS lym inguin          Primary central nervous system lymphoma, lymph nodes of inguinal region and lower limb
20056       Primary CNS lymph pelvic        Primary central nervous system lymphoma, intrapelvic lymph nodes
